Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Vallin J., Meslé F.","7005940807;6701683340;","Convergences and divergences in mortality. A new approach to health transition",2004,"Demographic Research","10","SUPPL. 2",,"11","44",,137,"10.4054/demres.2004.s2.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344561499&doi=10.4054%2fdemres.2004.s2.2&partnerID=40&md5=f517875d9887b57fbf3f1d1559a4e4c9","Inst. Natl. D'Etudes Demographiques, 133 bd. Davout, 75980 Paris Cédex 20, France","Vallin, J., Inst. Natl. D'Etudes Demographiques, 133 bd. Davout, 75980 Paris Cédex 20, France; Meslé, F., Inst. Natl. D'Etudes Demographiques, 133 bd. Davout, 75980 Paris Cédex 20, France","Abdel Omran's 1971 theory of ""Epidemiologic Transition"" was the first attempt to account for the extraordinary advances in health care made in industrialized countries since the 18th century. In the framework of the Demographic Transition, it implied a general convergence of life expectancies toward a limit imposed by the new epidemiological features of modern societies. However, important failures, occurred in the past decades (mainly the health crisis in Eastern Europe and AIDS in Africa), seem to have stopped that process of convergence. In fact such failures do not really contradict the theory. The latter is much more ruined by the unexpected dramatic improvement in the field of cardiovascular disease experienced since the seventies, which results in a new step of a more general process. On the basis of the broader concept of ""Health Transition"" initiated by Julio Frenk et al., the present paper tries to rethink the full process in term of divergence/convergence sequences inferred by successive major changes in health technologies and strategies. © 2004 Max-Planck-Gesellschaft.",,,,,,"Vallin, J.; Inst. Natl. D'Etudes Demographiques, 133 bd. Davout, 75980 Paris Cédex 20, France; email: vallin@ined.fr",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-4344561499
"Martin S.P.","55450101200;","Trends in marital dissolution by women's education in the United States",2006,"Demographic Research","15",, 20,"","",,136,"10.4054/demres.2006.15.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845871235&doi=10.4054%2fdemres.2006.15.20&partnerID=40&md5=dd647325b35465d035f84bcd810b068b","Department of Sociology, University of Maryland, College Park, MD, United States","Martin, S.P., Department of Sociology, University of Maryland, College Park, MD, United States","I use the Survey of Income and Program Participation (N = 16,756) to measure trends in marital dissolution rates for U.S. women by education level. In marriage cohorts from the mid-1970s to the 1990s, marital dissolution rates fell among women with a 4-year college degree or more, but remained high among women with less than a 4-year college degree. This diverging trend began in the mid-1970s and is not explained by recent increases in women's overall educational attainment, nor by recent increases in age at marriage timing and premarital childbearing. These results suggest a growing association between socioeconomic disadvantage and family instability. © 2006 Martin.",,,,,,"Martin, S.P.; Department of Sociology, , College Park, MD, United States; email: smartin@socy.umd.edu",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-33845871235
"Hosegood V., McGrath N., Moultrie T.","6602528874;16069002500;7801654864;","Dispensing with marriage: Marital and partnership trends in rural KwaZulu-Natal, South Africa 2000-2006",2009,"Demographic Research","20",,,"279","312",,126,"10.4054/DemRes.2009.20.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65249114158&doi=10.4054%2fDemRes.2009.20.13&partnerID=40&md5=5d4b7565e5eadc82108430fea53f50b7","Department of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, London, United Kingdom; Africa Centre for Health and Population Studies, University of KwaZulu-Natal, KwaZulu-Natal, South Africa; Centre for Actuarial Research, University of Cape Town, Cape Town, South Africa","Hosegood, V., Department of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, London, United Kingdom, Africa Centre for Health and Population Studies, University of KwaZulu-Natal, KwaZulu-Natal, South Africa; McGrath, N., Department of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, London, United Kingdom, Africa Centre for Health and Population Studies, University of KwaZulu-Natal, KwaZulu-Natal, South Africa; Moultrie, T., Centre for Actuarial Research, University of Cape Town, Cape Town, South Africa","This paper describes marriage and partnership patterns and trends in rural KwaZulu-Natal, South Africa from 2000-2006. The study is based on longitudinal, population-based data collected by the Africa Centre demographic surveillance system. We consider whether the high rates of non-marriage among Africans in South Africa reported in the 1980s were reversed following the political transformation underway by the 1990s. Our findings show that marriage has continued to decline with a small increase in cohabitation among unmarried couples, particularly in more urbanised areas. Comparing surveillance and census data, we highlight problems with the use of the 'living together' marital status category in a highly mobile population. © 2009 Victoria Hosegood, Nuala McGrath & Tom Moultrie.",,,,,,"Hosegood, V.; Department of Epidemiology and Population Health, , London, United Kingdom; email: vicky.hosegood@lshtm.ac.uk",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-65249114158
"Mills M., Mencarini L., Tanturri M.L., Begall K.","14066587100;9042819600;15056907400;23968845100;","Gender equity and fertility intentions in Italy and the Netherlands",2008,"Demographic Research","18",,,"","",,117,"10.4054/demres.2008.18.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40349087416&doi=10.4054%2fdemres.2008.18.1&partnerID=40&md5=f2f11333803a4d852d51e7bdc9f34bdd","ICS, Department of Sociology, University of Groningen, Groningen, Netherlands; Department of Statistics and Applied Mathematics, University of Turin, Turin, Italy; Department of Applied Statistics and Economics L. Lenti, University of Pavia, Pavia, Italy; Department of Sociology, University of Groningen, Groningen, Netherlands","Mills, M., ICS, Department of Sociology, University of Groningen, Groningen, Netherlands; Mencarini, L., Department of Statistics and Applied Mathematics, University of Turin, Turin, Italy; Tanturri, M.L., Department of Applied Statistics and Economics L. Lenti, University of Pavia, Pavia, Italy; Begall, K., Department of Sociology, University of Groningen, Groningen, Netherlands","Fertility levels have fallen drastically in most industrialized countries. Diverse theoretical and empirical frameworks have had difficulty explaining these unprecedented low levels of fertility. More recently, however, attention has turned from classic explanations, such as women's increased labour market participation, to gender equity as the essential link to understand this phenomenon. Increases in women's labour market participation did not prompt a rise in men's domestic duties, often referred to as women's 'dual burden' or 'second shift'. Beyond the household, institutions and policies within countries facilitate or constrain the combination of women's employment with fertility. This paper provides an empirical test of gender equity theory by examining whether the unequal division of household labour leads to lower fertility intentions of women within different institutional contexts. Italy constitutes a case of low gender equity, low female labour market participation and the lowest-low fertility. The Netherlands has moderate to high gender equity, high part-time female labour market participation and comparatively higher fertility. Using data from the 2003 Italian Multipurpose Survey - Family and Social Actors and the Dutch sample from the 2004/5 European Social Survey, a series of logistic regression models test this theory. A central finding is that an unequal division of household labour only significantly impacts women's fertility intentions when they already bear a heavy load (more work hours, children), a finding that is particularly salient for working women in Italy. © 2008 Mills et al.",,,,,,"Mills, M.; ICS, , Groningen, Netherlands; email: m.c.mills@rug.nl",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-40349087416
"Frejka T., Sobotka T.","6603549644;35249538300;","Overview Chapter 1: Fertility in Europe: Diverse, delayed and below replacement",2008,"Demographic Research","19",, 3,"15","46",,108,"10.4054/DemRes.2008.19.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849085014&doi=10.4054%2fDemRes.2008.19.3&partnerID=40&md5=ac5e4353e2817ddca3fd994d13229513","Vienna Institute of Demography, Austria","Frejka, T.; Sobotka, T., Vienna Institute of Demography, Austria","Early in the 21st century, three-quarters of Europe's population lived in countries with fertility considerably below replacement. This general conclusion is arrived at irrespective of whether period or cohort fertility measures are used. In Western and Northern Europe, fertility quantum was slightly below replacement. In Southern, Central and Eastern Europe, fertility quantum as measured by the period total fertility rate (TFR) and its tempo-adjusted version was markedly below replacement; in many countries it was around 1.5, and in some populations it was as low as 1.3 to 1.4 births per woman. Throughout Europe, a historic transformation of childbearing patterns characterised by a pronounced delay of entry into parenthood has been taking place. This secular trend towards later childbearing has greatly contributed to the decline and fluctuations in period fertility rates. Delayed births were being recuperated, especially among childless women, but the extent of recuperation differs by country and region. All in all, despite a recent upward trend in the period TFR, European fertility early in the 21st century was at its lowest point since the Second World War.",,,,,,"Vienna Institute of DemographyAustria; email: Tfrejka@aol.com",,,14359871,,,,"English","Demogr. Res.",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-46849085014
"de Haas H., Fokkema T.","7003682613;6506652123;","The effects of integration and transnational ties on international return migration intentions",2011,"Demographic Research","25",,,"755","782",,107,"10.4054/DemRes.2011.25.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855387559&doi=10.4054%2fDemRes.2011.25.24&partnerID=40&md5=c8a067feb5b5819899d2a38338520869","Oxford University; Netherlands Interdisciplinary Demographic Institute","de Haas, H., Oxford University; Fokkema, T., Netherlands Interdisciplinary Demographic Institute","While return migration is receiving increasing attention, there is still insufficient insight into the factors which determine migrants' intentions and decisions to return. It is often assumed that integration in receiving countries and the concomitant weakening of transnational ties decreases the likelihood of returning. However, according to alternative theoretical interpretations, return migration can also be the outflow of successful integration in receiving countries. Drawing on a dataset of four African immigrant groups in Spain and Italy, this article reviews these conflicting hypotheses by assessing the effects of integration and transnational ties on return migration intentions. The results of the analysis suggest that sociocultural integration has a negative effect on return migration intentions, while economic integration and transnational ties have more ambiguous and sometimes positive effects. The results provide mixed support for the different hypotheses but question theoretical perspectives that unequivocally conceptualize return migration and transnationalism as causes and/or consequences of ""integration failure"".",,,,,,"de Haas, H.; Oxford Universityemail: hein.dehaas@qeh.ox.ac.uk",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84855387559
"Clark W.A.V., Withers S.D.","7403516073;7103231180;","Family migration and mobility sequences in the United States: Spatial mobility in the context of the life course",2007,"Demographic Research","17",, 20,"591","622",,107,"10.4054/DemRes.2007.17.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37549065156&doi=10.4054%2fDemRes.2007.17.20&partnerID=40&md5=bbf883e934e4031c2c518386c9bcb242","University of California, Los Angeles, CA, United States; University of Washington, Seattle, WA, United States","Clark, W.A.V., University of California, Los Angeles, CA, United States; Withers, S.D., University of Washington, Seattle, WA, United States","Significant changes in family composition in the past quarter-century raise important questions about life-course outcomes embedded in these family changes, especially in relation to the migratory and mobility patterns of individuals and families. The classic distinction between long-distance/employment and short-distance/housing-related moves may be eroding. Patterns of movement appear much less dichotomous and more diverse as family structures become more diverse. Using the Panel Study of Income Dynamics this study shows that the previous research, which suggested relatively simple links between long-distance and short-distance moves, is an over-simplification. Moreover, there is much more unintended movement at both migratory and mobility scales suggesting the economic models of employment migration may be missing important family dynamics in the migration mobility process. © 2007 Clark & Davies Withers.",,,,,,"Clark, W.A.V.; University of California, Los Angeles, CA, United States; email: wclark@geog.ucla.edu",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-37549065156
"Booth H., Hyndman R.J., Tickle L., de Jong P.","7006782322;7006914313;11940237700;55704372300;","Lee-Carter mortality forecasting: A multi-country comparison of variants and extensions",2006,"Demographic Research","15",, 9,"","",,107,"10.4054/demres.2006.15.9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750491967&doi=10.4054%2fdemres.2006.15.9&partnerID=40&md5=c318984ed8eb7e23f73fd8f20807380a","Demography and Sociology Program, Research School of Social Sciences, Australian National University, Canberra, ACT 0200, Australia; Department of Econometrics and Business Statistics, Monash University, Melbourne, VIC, Australia; Department of Actuarial Studies, Macquarie University, Sydney, NSW, Australia","Booth, H., Demography and Sociology Program, Research School of Social Sciences, Australian National University, Canberra, ACT 0200, Australia; Hyndman, R.J., Department of Econometrics and Business Statistics, Monash University, Melbourne, VIC, Australia; Tickle, L., Department of Actuarial Studies, Macquarie University, Sydney, NSW, Australia; de Jong, P., Department of Actuarial Studies, Macquarie University, Sydney, NSW, Australia","We compare the short- to medium-term accuracy of five variants or extensions of the Lee-Carter method for mortality forecasting. These include the original Lee-Carter, the Lee-Miller and Booth-Maindonald-Smith variants, and the more flexible Hyndman-Ullah and De Jong-Tickle extensions. These methods are compared by applying them to sex-specific populations of 10 developed countries using data for 1986-2000 for evaluation. All variants and extensions are more accurate than the original Lee-Carter method for forecasting log death rates, by up to 61%. However, accuracy in log death rates does not necessarily translate into accuracy in life expectancy. There are no significant differences among the five methods in forecast accuracy for life expectancy. © 2006 Booth et al.",,,,,,"Booth, H.; Demography and Sociology Program, , Canberra, ACT 0200, Australia; email: Heather.Booth@anu.edu.au",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-33750491967
"Samir K.C., Barakat B., Goujon A., Skirbekk V., Sanderson W., Lutz W.","23988178700;36023185200;23987452800;57202564482;7005322893;55259243300;","Projection of populations by level of educational attainment, age, and sex for 120 countries for 2005-2050",2010,"Demographic Research","22",,,"383","472",,106,"10.4054/DemRes.2010.22.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952115911&doi=10.4054%2fDemRes.2010.22.15&partnerID=40&md5=7e519bd2cd5c4648e2f66cea08584728","World Population Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, A-2361 Laxenburg, Austria; World Population Program, IIASA, Austria; Vienna Institute of Demography of the Austrian Academy of Sciences, Austria; Leader, Age and Cohort Change Project, IIASA, Austria; Departments of Economics and History, Stony Brook University, New York, United States; World Population Program, IIASA, Austria","Samir, K.C., World Population Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, A-2361 Laxenburg, Austria; Barakat, B., World Population Program, IIASA, Austria, Vienna Institute of Demography of the Austrian Academy of Sciences, Austria; Goujon, A., World Population Program, IIASA, Austria, Vienna Institute of Demography of the Austrian Academy of Sciences, Austria; Skirbekk, V., Leader, Age and Cohort Change Project, IIASA, Austria; Sanderson, W., Departments of Economics and History, Stony Brook University, New York, United States, World Population Program, IIASA, Austria; Lutz, W., Vienna Institute of Demography of the Austrian Academy of Sciences, Austria, World Population Program, IIASA, Austria","Using demographic multi-state, cohort-component methods, we produce projections for 120 countries (covering 93% of the world population in 2005) by five-year age groups, sex, and four levels of educational attainment for the years 2005-2050. Taking into account differentials in fertility and mortality by education level, we present the first systematic global educational attainment projections according to four widely differing education scenarios. The results show the possible range of future educational attainment trends around the world, thereby contributing to long-term economic and social planning at the national and international levels, and to the assessment of the feasibility of international education goals. © 2010 Samir KC et al.",,,,,,"Samir, K.C.; World Population Program, Schlossplatz 1, A-2361 Laxenburg, Austria; email: kc@iiasa.ac.at",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-77952115911
"Hoem J.M., Neyer G., Andersson G.","6603869616;6602861368;57210275826;","Education and childlessness: The relationship between educational field, educational level, and childlessness among Swedish women born in 1955-59",2006,"Demographic Research","14",, 15,"331","380",,105,"10.4054/DemRes.2006.14.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646701708&doi=10.4054%2fDemRes.2006.14.15&partnerID=40&md5=43aa72bb11f1091925cb432652afee31","Max Planck Institute for Demographic Research, Konrad-Zuse-Str. 1, 18057 Rostock, Germany","Hoem, J.M., Max Planck Institute for Demographic Research, Konrad-Zuse-Str. 1, 18057 Rostock, Germany; Neyer, G., Max Planck Institute for Demographic Research, Konrad-Zuse-Str. 1, 18057 Rostock, Germany; Andersson, G., Max Planck Institute for Demographic Research, Konrad-Zuse-Str. 1, 18057 Rostock, Germany","In this paper we extend the concept of educational attainment to cover the field of education taken in addition to the conventional level of education attained. Our empirical investigation uses register records containing childbearing and educational histories of an entire cohort of women born in Sweden (about a quarter-million individuals). This allows us to operate with a high number of educational field-and-level combinations (some sixty in all). It turns out that the field of education serves as an indicator of a woman's potential reproductive behavior better than the mere level attained. We discover that in each field permanent childlessness increases some with the educational level, but that the field itself is the more important. In general, we find that women educated for jobs in teaching and health care are in a class of their own, with much lower permanent childlessness at each educational level than in any other major grouping. Women educated in arts and humanities or for religious occupations have unusually high fractions permanently childless. Our results cast doubt on the assumption that higher education per se must result in higher childlessness. In our opinion, several factors intrinsic and extrinsic to an educational system (such as its flexibility, its gender structure, and the manner in which education is hooked up to the labor market) may influence the relationship between education and childlessness, and we would not expect a simple, unidirectional relationship. © 2006 Max-Planck-Gesellschaft.","Childlessness; Education; Fertility; Sweden",,,,,"Hoem, J.M.; Max Planck Institute for Demographic Research, Konrad-Zuse-Str. 1, 18057 Rostock, Germany; email: hoem@demogr.mpg.de",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-33646701708
